alias_name,standard_name
dnWelling_SW_Avg,SWin_Avg
upWelling_SW_Avg,SWout_Avg
dnWelling_LW_Avg,LWin_Avg
upWelling_LW_Avg,LWout_Avg
Trnet_Avg,Trnet_Avg
Rnet_Avg,Rnet_Avg
SWnet_Avg,SWnet_Avg
LWnet_Avg,LWnet_Avg
TOT_dnWelling_Avg,Rin_Avg
TOT_upWelling_Avg,Rout_Avg
Albedo_Avg,Albedo_Avg
Tsurface_Avg,Tsrf_Avg
Tsky_Avg,Tsky_Avg
Tair_1_Avg,Tair_1_Avg
RH_1_Avg,RH_1_Avg
Tair_2_Avg,Tair_2_Avg
RH_2_Avg,RH_2_Avg
TC_air_Avg,TCair_Avg
WindSpeed,WS_Avg
WindSpeed_rs,WSrs_Avg
WindDir,WDrs_Avg
WindDir_sd,WD_StdCS
WindDir_uv,WDuv_Avg
Tsoil_Avg,Tsoil_Avg
SoilHeatFlux_Avg(1),SHF_1_Avg
SoilHeatFlux_Avg(2),SHF_2_Avg
F,SHF_Avg
M,SHS_Avg
G,SHFsrf_Avg
SoilMoisture_Avg(1),SM_1_Avg
SoilMoisture_Avg(2),SM_2_Avg
SoilMoisture_T_Avg(1),SMadjT_1_Avg
SoilMoisture_T_Avg(2),SMadjT_2_Avg
Rainfall_Tot,RF_Tot
